year,month,base_rate,apply_dt
2019,12,1.25,2019-12-01
2020,1,1.25,2020-01-01
2020,2,1.25,2020-02-01
2020,3,0.75,2020-03-01
2020,4,0.75,2020-04-01
2020,5,0.5,2020-05-01
2020,6,0.5,2020-06-01
2020,7,0.5,2020-07-01
2020,8,0.5,2020-08-01
2020,9,0.5,2020-09-01
2020,10,0.5,2020-10-01
2020,11,0.5,2020-11-01
2020,12,0.5,2020-12-01
2021,1,0.5,2021-01-01
2021,2,0.5,2021-02-01
2021,3,0.5,2021-03-01
2021,4,0.5,2021-04-01
2021,5,0.5,2021-05-01
2021,6,0.5,2021-06-01
2021,7,0.5,2021-07-01
2021,8,0.75,2021-08-01
2021,9,0.75,2021-09-01
2021,10,0.75,2021-10-01
2021,11,1.0,2021-11-01
2021,12,1.0,2021-12-01
2022,1,1.25,2022-01-01
2022,2,1.25,2022-02-01
2022,3,1.25,2022-03-01
2022,4,1.5,2022-04-01
2022,5,1.75,2022-05-01
2022,6,1.75,2022-06-01
2022,7,2.25,2022-07-01
2022,8,2.5,2022-08-01
2022,9,2.5,2022-09-01
2022,10,3.0,2022-10-01
2022,11,3.25,2022-11-01
2022,12,3.25,2022-12-01
2023,1,3.5,2023-01-01
2023,2,3.5,2023-02-01
2023,3,3.5,2023-03-01
2023,4,3.5,2023-04-01
2023,5,3.5,2023-05-01
2023,6,3.5,2023-06-01
2023,7,3.5,2023-07-01
2023,8,3.5,2023-08-01
2023,9,3.5,2023-09-01
2023,10,3.5,2023-10-01
2023,11,3.5,2023-11-01
2023,12,3.5,2023-12-01
2024,1,3.5,2024-01-01
