year,month,coincident_index,leading_index,apply_dt
2019,12,100.1,99.2,2019-12-01
2020,1,100.2,99.3,2020-01-01
2020,2,99.5,99.3,2020-02-01
2020,3,98.4,98.9,2020-03-01
2020,4,97.3,98.6,2020-04-01
2020,5,96.3,98.2,2020-05-01
2020,6,96.4,98.5,2020-06-01
2020,7,96.6,98.8,2020-07-01
2020,8,97.0,99.4,2020-08-01
2020,9,97.6,99.7,2020-09-01
2020,10,97.9,100.0,2020-10-01
2020,11,98.5,100.5,2020-11-01
2020,12,98.4,100.8,2020-12-01
2021,1,98.1,101.2,2021-01-01
2021,2,98.1,101.5,2021-02-01
2021,3,98.6,101.9,2021-03-01
2021,4,99.4,102.3,2021-04-01
2021,5,99.6,102.7,2021-05-01
2021,6,99.6,103.0,2021-06-01
2021,7,99.6,102.9,2021-07-01
2021,8,99.6,102.7,2021-08-01
2021,9,99.6,102.3,2021-09-01
2021,10,99.7,101.9,2021-10-01
2021,11,100.0,101.5,2021-11-01
2021,12,100.7,101.4,2021-12-01
2022,1,101.2,101.5,2022-01-01
2022,2,101.2,101.3,2022-02-01
2022,3,101.0,101.1,2022-03-01
2022,4,100.7,101.0,2022-04-01
2022,5,100.9,101.2,2022-05-01
2022,6,101.0,101.2,2022-06-01
2022,7,101.2,100.9,2022-07-01
2022,8,101.5,100.8,2022-08-01
2022,9,101.6,100.7,2022-09-01
2022,10,101.5,100.7,2022-10-01
2022,11,101.0,100.4,2022-11-01
2022,12,100.4,99.9,2022-12-01
2023,1,99.9,99.6,2023-01-01
2023,2,100.1,99.3,2023-02-01
2023,3,100.5,99.1,2023-03-01
2023,4,100.7,98.9,2023-04-01
2023,5,100.8,99.1,2023-05-01
2023,6,100.8,99.4,2023-06-01
2023,7,100.5,99.8,2023-07-01
2023,8,100.4,99.8,2023-08-01
2023,9,100.3,99.8,2023-09-01
2023,10,100.3,100.0,2023-10-01
2023,11,100.4,100.2,2023-11-01
2023,12,100.2,100.4,2023-12-01
2024,1,100.6,100.4,2024-01-01
