release_date,release_time,release_dt,ref_month,cpi_yoy_actual,cpi_yoy_forecast,cpi_yoy_prev
2020-12-31,08:00,2020-12-31 08:00:00,2020-12,0.5,0.6,0.6
2021-02-02,08:00,2021-02-02 08:00:00,2021-01,0.6,0.3,0.5
2021-03-04,08:00,2021-03-04 08:00:00,2021-02,1.1,1.0,0.6
2021-04-02,08:00,2021-04-02 08:00:00,2021-03,1.5,1.4,1.1
2021-05-04,08:00,2021-05-04 08:00:00,2021-04,2.3,2.2,1.5
2021-06-02,08:00,2021-06-02 08:00:00,2021-05,2.6,2.6,2.3
2021-07-02,08:00,2021-07-02 08:00:00,2021-06,2.4,2.5,2.6
2021-08-03,08:00,2021-08-03 08:00:00,2021-07,2.6,2.4,2.4
2021-09-02,08:00,2021-09-02 08:00:00,2021-08,2.6,2.3,2.6
2021-10-06,08:00,2021-10-06 08:00:00,2021-09,2.5,2.3,2.6
2021-11-02,08:00,2021-11-02 08:00:00,2021-10,3.2,3.2,2.5
2021-12-02,08:00,2021-12-02 08:00:00,2021-11,3.7,3.1,3.2
2021-12-31,08:00,2021-12-31 08:00:00,2021-12,3.7,3.6,3.7
2022-02-04,08:00,2022-02-04 08:00:00,2022-01,3.6,3.3,3.7
2022-03-04,08:00,2022-03-04 08:00:00,2022-02,3.7,3.5,3.6
2022-04-05,08:00,2022-04-05 08:00:00,2022-03,4.1,3.8,3.7
2022-05-03,08:00,2022-05-03 08:00:00,2022-04,4.8,4.4,4.1
2022-06-03,08:00,2022-06-03 08:00:00,2022-05,5.4,5.1,4.8
2022-07-05,08:00,2022-07-05 08:00:00,2022-06,6.0,5.9,5.4
2022-08-02,08:00,2022-08-02 08:00:00,2022-07,6.3,6.3,6.0
2022-09-02,08:00,2022-09-02 08:00:00,2022-08,5.7,6.1,6.3
2022-10-05,08:00,2022-10-05 08:00:00,2022-09,5.6,5.7,5.7
2022-11-02,08:00,2022-11-02 08:00:00,2022-10,5.7,5.6,5.6
2022-12-02,08:00,2022-12-02 08:00:00,2022-11,5.0,5.1,5.7
2022-12-30,08:00,2022-12-30 08:00:00,2022-12,5.0,5.0,5.0
2023-02-02,08:00,2023-02-02 08:00:00,2023-01,5.2,5.0,5.0
2023-03-06,08:00,2023-03-06 08:00:00,2023-02,4.8,5.1,5.2
2023-04-04,08:00,2023-04-04 08:00:00,2023-03,4.2,4.3,4.8
2023-05-02,08:00,2023-05-02 08:00:00,2023-04,3.7,3.8,4.2
2023-06-02,08:00,2023-06-02 08:00:00,2023-05,3.3,3.3,3.7
2023-07-04,08:00,2023-07-04 08:00:00,2023-06,2.7,2.9,3.3
2023-08-02,08:00,2023-08-02 08:00:00,2023-07,2.3,2.4,2.7
2023-09-05,08:00,2023-09-05 08:00:00,2023-08,3.4,2.7,2.3
2023-10-05,08:00,2023-10-05 08:00:00,2023-09,3.7,3.4,3.4
2023-11-02,08:00,2023-11-02 08:00:00,2023-10,3.8,3.6,3.7
2023-12-05,08:00,2023-12-05 08:00:00,2023-11,3.3,3.7,3.8
2023-12-29,08:00,2023-12-29 08:00:00,2023-12,3.2,3.3,3.3
