month,month_str,unemployment_rate,youth_unemployment_rate,release_dt
2019-12,2019-12,3.4,7.3,2020-01-10 08:00:00
2020-01,2020-01,4.1,7.7,2020-02-10 08:00:00
2020-02,2020-02,4.1,9.0,2020-03-10 08:00:00
2020-03,2020-03,4.2,9.9,2020-04-10 08:00:00
2020-04,2020-04,4.2,9.3,2020-05-10 08:00:00
2020-05,2020-05,4.5,10.2,2020-06-10 08:00:00
2020-06,2020-06,4.3,10.7,2020-07-10 08:00:00
2020-07,2020-07,4.0,9.7,2020-08-10 08:00:00
2020-08,2020-08,3.1,7.7,2020-09-10 08:00:00
2020-09,2020-09,3.6,8.9,2020-10-10 08:00:00
2020-10,2020-10,3.7,8.3,2020-11-10 08:00:00
2020-11,2020-11,3.4,8.1,2020-12-10 08:00:00
2020-12,2020-12,4.1,8.1,2021-01-10 08:00:00
2021-01,2021-01,5.7,9.5,2021-02-10 08:00:00
2021-02,2021-02,4.9,10.1,2021-03-10 08:00:00
2021-03,2021-03,4.3,10.0,2021-04-10 08:00:00
2021-04,2021-04,4.0,10.0,2021-05-10 08:00:00
2021-05,2021-05,4.0,9.3,2021-06-10 08:00:00
2021-06,2021-06,3.8,8.9,2021-07-10 08:00:00
2021-07,2021-07,3.2,7.2,2021-08-10 08:00:00
2021-08,2021-08,2.6,5.8,2021-09-10 08:00:00
2021-09,2021-09,2.7,5.4,2021-10-10 08:00:00
2021-10,2021-10,2.8,5.6,2021-11-10 08:00:00
2021-11,2021-11,2.6,5.5,2021-12-10 08:00:00
2021-12,2021-12,3.5,5.7,2022-01-10 08:00:00
2022-01,2022-01,4.1,6.0,2022-02-10 08:00:00
2022-02,2022-02,3.4,6.9,2022-03-10 08:00:00
2022-03,2022-03,3.0,7.2,2022-04-10 08:00:00
2022-04,2022-04,3.0,7.4,2022-05-10 08:00:00
2022-05,2022-05,3.0,7.2,2022-06-10 08:00:00
2022-06,2022-06,3.0,6.9,2022-07-10 08:00:00
2022-07,2022-07,2.9,6.8,2022-08-10 08:00:00
2022-08,2022-08,2.1,5.4,2022-09-10 08:00:00
2022-09,2022-09,2.4,6.1,2022-10-10 08:00:00
2022-10,2022-10,2.4,5.6,2022-11-10 08:00:00
2022-11,2022-11,2.3,5.7,2022-12-10 08:00:00
2022-12,2022-12,3.0,5.2,2023-01-10 08:00:00
2023-01,2023-01,3.6,5.9,2023-02-10 08:00:00
2023-02,2023-02,3.1,7.0,2023-03-10 08:00:00
2023-03,2023-03,2.9,7.1,2023-04-10 08:00:00
2023-04,2023-04,2.8,6.4,2023-05-10 08:00:00
2023-05,2023-05,2.7,5.8,2023-06-10 08:00:00
2023-06,2023-06,2.7,6.3,2023-07-10 08:00:00
2023-07,2023-07,2.7,6.0,2023-08-10 08:00:00
2023-08,2023-08,2.0,4.5,2023-09-10 08:00:00
2023-09,2023-09,2.3,5.2,2023-10-10 08:00:00
2023-10,2023-10,2.1,5.1,2023-11-10 08:00:00
2023-11,2023-11,2.3,5.3,2023-12-10 08:00:00
2023-12,2023-12,3.3,5.5,2024-01-10 08:00:00
2024-01,2024-01,3.7,6.0,2024-02-10 08:00:00
