구분,고급휘발유,보통휘발유,자동차용경유
2020년01월01일,1828.42,1559.60,1392.26
2020년01월02일,1829.22,1560.36,1392.88
2020년01월03일,1829.27,1561.05,1393.16
2020년01월04일,1829.27,1561.87,1393.82
2020년01월05일,1829.81,1562.34,1394.03
2020년01월06일,1830.83,1563.32,1394.97
2020년01월07일,1832.59,1565.06,1396.28
2020년01월08일,1833.08,1566.54,1397.58
2020년01월09일,1833.56,1568.19,1398.84
2020년01월10일,1834.85,1569.25,1399.62
2020년01월11일,1835.39,1570.06,1400.13
2020년01월12일,1835.06,1570.36,1400.31
2020년01월13일,1835.56,1570.97,1400.86
2020년01월14일,1835.85,1571.34,1401.06
2020년01월15일,1836.16,1571.46,1401.02
2020년01월16일,1835.60,1571.56,1401.06
2020년01월17일,1835.63,1571.45,1400.91
2020년01월18일,1834.35,1571.27,1400.67
2020년01월19일,1835.20,1571.22,1400.52
2020년01월20일,1833.99,1571.26,1400.67
2020년01월21일,1833.33,1571.17,1400.40
2020년01월22일,1833.27,1571.06,1400.18
2020년01월23일,1832.87,1571.06,1400.05
2020년01월24일,1832.71,1570.99,1399.94
2020년01월25일,1832.69,1571.01,1399.84
2020년01월26일,1832.48,1570.91,1399.63
2020년01월27일,1831.82,1570.53,1399.13
2020년01월28일,1832.24,1570.26,1398.77
2020년01월29일,1831.68,1569.66,1398.10
2020년01월30일,1831.22,1568.76,1397.37
2020년01월31일,1829.98,1567.80,1396.42
2020년02월01일,1829.74,1566.46,1394.86
2020년02월02일,1829.16,1565.92,1394.10
2020년02월03일,1829.16,1564.89,1393.18
2020년02월04일,1828.81,1563.30,1391.26
2020년02월05일,1827.17,1561.93,1389.72
2020년02월06일,1825.40,1560.33,1387.92
2020년02월07일,1823.77,1558.76,1386.04
2020년02월08일,1822.68,1557.50,1384.50
2020년02월09일,1821.64,1556.89,1383.70
2020년02월10일,1821.21,1555.51,1382.38
2020년02월11일,1820.45,1552.66,1379.28
2020년02월12일,1819.74,1550.29,1376.42
2020년02월13일,1818.05,1547.53,1373.28
2020년02월14일,1816.72,1545.01,1370.38
2020년02월15일,1814.80,1542.96,1367.64
2020년02월16일,1814.25,1541.95,1366.27
2020년02월17일,1813.68,1540.38,1364.35
2020년02월18일,1812.80,1538.33,1361.95
2020년02월19일,1811.83,1536.63,1359.70
2020년02월20일,1811.46,1535.17,1357.74
2020년02월21일,1810.36,1533.93,1356.17
2020년02월22일,1809.55,1533.01,1354.85
2020년02월23일,1809.15,1532.62,1354.19
2020년02월24일,1808.90,1531.73,1353.38
2020년02월25일,1808.13,1530.59,1351.74
2020년02월26일,1807.10,1529.45,1350.36
2020년02월27일,1806.39,1528.09,1348.74
2020년02월28일,1805.07,1526.59,1346.79
2020년02월29일,1803.70,1525.03,1344.88
2020년03월01일,1803.08,1523.52,1342.68
2020년03월02일,1802.14,1521.76,1340.72
2020년03월03일,1801.32,1519.50,1337.92
2020년03월04일,1799.70,1517.30,1335.41
2020년03월05일,1798.05,1515.36,1333.15
2020년03월06일,1796.42,1513.55,1330.82
2020년03월07일,1794.74,1511.70,1328.48
2020년03월08일,1794.84,1510.79,1327.27
2020년03월09일,1793.63,1508.65,1324.82
2020년03월10일,1791.38,1505.06,1320.52
2020년03월11일,1787.07,1499.70,1314.23
2020년03월12일,1783.97,1494.89,1308.62
2020년03월13일,1781.11,1490.23,1303.35
2020년03월14일,1777.31,1486.01,1298.25
2020년03월15일,1775.51,1484.04,1295.73
2020년03월16일,1774.18,1480.14,1291.56
2020년03월17일,1770.16,1473.72,1284.17
2020년03월18일,1764.62,1465.40,1275.15
2020년03월19일,1758.43,1457.94,1266.95
2020년03월20일,1753.61,1450.71,1259.24
2020년03월21일,1749.08,1445.02,1253.06
2020년03월22일,1746.33,1442.55,1250.05
2020년03월23일,1744.38,1437.38,1244.70
2020년03월24일,1740.34,1430.25,1236.94
2020년03월25일,1735.57,1423.96,1230.81
2020년03월26일,1730.56,1418.18,1224.52
2020년03월27일,1724.93,1411.92,1218.12
2020년03월28일,1720.03,1406.63,1212.81
2020년03월29일,1718.25,1403.83,1209.90
2020년03월30일,1715.02,1398.93,1205.16
2020년03월31일,1710.61,1393.03,1199.27
2020년04월01일,1704.02,1384.29,1190.50
2020년04월02일,1698.16,1377.90,1184.19
2020년04월03일,1692.18,1372.03,1178.65
2020년04월04일,1687.27,1367.91,1174.57
2020년04월05일,1685.68,1366.27,1172.64
2020년04월06일,1683.33,1362.90,1169.74
2020년04월07일,1677.91,1357.79,1164.68
2020년04월08일,1672.42,1352.04,1159.16
2020년04월09일,1666.71,1347.54,1154.71
2020년04월10일,1664.62,1343.57,1151.07
2020년04월11일,1661.38,1339.93,1147.46
2020년04월12일,1660.48,1338.46,1145.88
2020년04월13일,1658.40,1335.31,1143.12
2020년04월14일,1653.34,1331.10,1139.03
2020년04월15일,1649.69,1326.56,1134.87
2020년04월16일,1647.10,1322.62,1131.51
2020년04월17일,1642.79,1317.95,1127.11
2020년04월18일,1638.00,1313.53,1123.01
2020년04월19일,1636.18,1311.41,1120.79
2020년04월20일,1633.70,1307.26,1117.33
2020년04월21일,1628.79,1301.62,1111.91
2020년04월22일,1623.30,1296.70,1107.16
2020년04월23일,1618.87,1292.03,1102.66
2020년04월24일,1614.44,1287.36,1098.28
2020년04월25일,1612.18,1283.83,1094.84
2020년04월26일,1610.72,1282.05,1092.88
2020년04월27일,1608.34,1278.85,1090.09
2020년04월28일,1602.04,1274.40,1085.57
2020년04월29일,1596.82,1270.26,1081.50
2020년04월30일,1593.67,1267.24,1078.54
2020년05월01일,1590.71,1264.02,1075.28
2020년05월02일,1589.18,1262.63,1073.84
2020년05월03일,1588.90,1261.66,1072.70
2020년05월04일,1587.14,1259.87,1071.05
2020년05월05일,1585.24,1257.33,1068.43
2020년05월06일,1584.80,1256.15,1067.27
2020년05월07일,1583.12,1253.91,1065.07
2020년05월08일,1580.74,1252.46,1063.74
2020년05월09일,1578.74,1251.41,1062.51
2020년05월10일,1579.52,1251.08,1062.18
2020년05월11일,1578.34,1250.10,1061.41
2020년05월12일,1577.14,1249.18,1060.35
2020년05월13일,1575.22,1248.34,1059.55
2020년05월14일,1574.88,1247.95,1059.16
2020년05월15일,1574.20,1247.58,1058.75
2020년05월16일,1574.45,1247.73,1059.02
2020년05월17일,1573.51,1247.91,1059.12
2020년05월18일,1574.19,1248.13,1059.50
2020년05월19일,1574.97,1248.66,1059.77
2020년05월20일,1575.39,1249.29,1060.26
2020년05월21일,1576.32,1250.29,1061.27
2020년05월22일,1576.71,1251.66,1062.70
2020년05월23일,1577.57,1253.38,1063.99
2020년05월24일,1579.53,1254.16,1064.54
2020년05월25일,1578.21,1255.48,1065.87
2020년05월26일,1578.88,1258.57,1068.51
2020년05월27일,1582.14,1261.22,1070.81
2020년05월28일,1584.13,1263.74,1073.05
2020년05월29일,1585.27,1266.16,1075.16
2020년05월30일,1585.90,1268.42,1077.12
2020년05월31일,1585.73,1269.84,1078.20
2020년06월01일,1587.69,1273.49,1081.82
2020년06월02일,1588.60,1276.04,1084.15
2020년06월03일,1589.64,1279.03,1086.91
2020년06월04일,1591.01,1282.23,1089.92
2020년06월05일,1593.08,1286.85,1094.27
2020년06월06일,1594.97,1292.21,1099.12
2020년06월07일,1595.55,1294.67,1101.38
2020년06월08일,1596.06,1299.39,1105.88
2020년06월09일,1600.46,1306.08,1112.20
2020년06월10일,1603.86,1311.63,1117.30
2020년06월11일,1606.65,1316.17,1121.52
2020년06월12일,1608.22,1319.99,1125.19
2020년06월13일,1610.58,1322.91,1127.84
2020년06월14일,1611.76,1324.22,1128.99
2020년06월15일,1612.21,1327.02,1131.65
2020년06월16일,1614.27,1330.09,1134.37
2020년06월17일,1615.49,1332.86,1137.11
2020년06월18일,1616.50,1335.47,1139.58
2020년06월19일,1616.89,1337.95,1142.00
2020년06월20일,1618.16,1340.67,1144.35
2020년06월21일,1618.98,1341.84,1145.50
2020년06월22일,1619.92,1344.18,1147.87
2020년06월23일,1621.74,1346.77,1150.24
2020년06월24일,1622.77,1348.54,1151.92
2020년06월25일,1624.41,1350.05,1153.36
2020년06월26일,1624.83,1351.31,1154.71
2020년06월27일,1625.44,1352.59,1155.94
2020년06월28일,1626.29,1353.19,1156.35
2020년06월29일,1627.08,1354.24,1157.44
2020년06월30일,1627.86,1355.20,1158.25
2020년07월01일,1629.17,1356.73,1159.77
2020년07월02일,1629.96,1357.49,1160.40
2020년07월03일,1629.47,1358.04,1161.04
2020년07월04일,1630.12,1358.36,1161.30
2020년07월05일,1631.10,1358.73,1161.47
2020년07월06일,1632.05,1359.06,1161.97
2020년07월07일,1631.99,1359.49,1162.36
2020년07월08일,1631.58,1359.68,1162.63
2020년07월09일,1631.98,1359.95,1162.83
2020년07월10일,1631.52,1360.16,1162.92
2020년07월11일,1632.92,1360.40,1163.23
2020년07월12일,1632.94,1360.51,1163.15
2020년07월13일,1632.60,1360.72,1163.34
2020년07월14일,1632.41,1360.80,1163.45
2020년07월15일,1632.65,1360.91,1163.56
2020년07월16일,1632.52,1361.03,1163.62
2020년07월17일,1634.83,1361.04,1163.74
2020년07월18일,1635.49,1361.15,1163.67
2020년07월19일,1635.98,1361.22,1163.62
2020년07월20일,1635.67,1361.18,1163.65
2020년07월21일,1634.99,1361.13,1163.60
2020년07월22일,1633.71,1361.07,1163.52
2020년07월23일,1633.76,1361.01,1163.45
2020년07월24일,1633.81,1361.04,1163.46
2020년07월25일,1634.18,1361.04,1163.49
2020년07월26일,1634.52,1361.10,1163.48
2020년07월27일,1634.30,1361.01,1163.49
2020년07월28일,1634.51,1361.04,1163.47
2020년07월29일,1634.80,1360.99,1163.46
2020년07월30일,1634.41,1360.93,1163.42
2020년07월31일,1634.40,1360.83,1163.34
2020년08월01일,1634.53,1361.07,1163.69
2020년08월02일,1635.24,1361.20,1163.67
2020년08월03일,1636.17,1361.31,1163.89
2020년08월04일,1635.81,1361.25,1163.76
2020년08월05일,1636.30,1361.12,1163.68
2020년08월06일,1636.43,1361.07,1163.59
2020년08월07일,1636.00,1360.99,1163.51
2020년08월08일,1635.82,1361.00,1163.49
2020년08월09일,1636.44,1361.03,1163.42
2020년08월10일,1636.37,1361.07,1163.48
2020년08월11일,1636.29,1361.06,1163.48
2020년08월12일,1636.43,1361.04,1163.43
2020년08월13일,1637.55,1361.08,1163.51
2020년08월14일,1637.21,1361.12,1163.52
2020년08월15일,1636.79,1361.18,1163.69
2020년08월16일,1636.91,1361.23,1163.68
2020년08월17일,1636.71,1361.25,1163.63
2020년08월18일,1637.05,1361.24,1163.70
2020년08월19일,1636.44,1361.21,1163.76
2020년08월20일,1636.37,1361.27,1163.83
2020년08월21일,1635.96,1361.25,1163.83
2020년08월22일,1636.45,1361.28,1163.73
2020년08월23일,1636.77,1361.20,1163.63
2020년08월24일,1636.89,1361.19,1163.76
2020년08월25일,1636.26,1361.19,1163.62
2020년08월26일,1636.05,1361.09,1163.53
2020년08월27일,1635.83,1361.02,1163.41
2020년08월28일,1636.58,1360.88,1163.27
2020년08월29일,1637.05,1360.74,1163.14
2020년08월30일,1636.93,1360.78,1163.18
2020년08월31일,1636.55,1360.66,1163.09
2020년09월01일,1635.91,1360.37,1162.88
2020년09월02일,1636.31,1360.30,1162.66
2020년09월03일,1636.66,1360.33,1162.68
2020년09월04일,1636.11,1360.22,1162.50
2020년09월05일,1634.87,1360.18,1162.37
2020년09월06일,1635.75,1360.11,1162.24
2020년09월07일,1634.79,1359.89,1161.95
2020년09월08일,1634.33,1359.35,1161.52
2020년09월09일,1633.80,1358.50,1160.62
2020년09월10일,1632.96,1357.59,1159.74
2020년09월11일,1632.68,1356.76,1158.86
2020년09월12일,1632.73,1356.16,1158.20
2020년09월13일,1632.34,1355.88,1157.92
2020년09월14일,1631.97,1355.34,1157.37
2020년09월15일,1630.59,1354.26,1156.25
2020년09월16일,1629.37,1352.80,1154.73
2020년09월17일,1628.10,1351.53,1153.43
2020년09월18일,1627.04,1350.33,1152.26
2020년09월19일,1626.04,1349.55,1151.47
2020년09월20일,1626.39,1349.23,1151.10
2020년09월21일,1625.95,1348.45,1150.44
2020년09월22일,1625.80,1347.37,1149.22
2020년09월23일,1625.17,1346.26,1148.08
2020년09월24일,1624.64,1345.28,1146.98
2020년09월25일,1624.12,1344.43,1146.23
2020년09월26일,1623.56,1343.87,1145.54
2020년09월27일,1624.01,1343.59,1145.23
2020년09월28일,1623.24,1343.10,1144.85
2020년09월29일,1623.66,1342.21,1143.56
2020년09월30일,1622.91,1341.81,1142.93
2020년10월01일,1623.09,1341.59,1142.56
2020년10월02일,1623.57,1341.24,1142.29
2020년10월03일,1622.72,1340.62,1141.54
2020년10월04일,1622.43,1340.17,1141.05
2020년10월05일,1621.91,1339.39,1140.22
2020년10월06일,1621.60,1338.26,1139.04
2020년10월07일,1621.03,1337.44,1138.27
2020년10월08일,1620.43,1336.68,1137.52
2020년10월09일,1619.44,1336.07,1136.94
2020년10월10일,1619.19,1335.80,1136.56
2020년10월11일,1619.00,1335.61,1136.39
2020년10월12일,1619.60,1335.25,1136.01
2020년10월13일,1619.26,1334.67,1135.40
2020년10월14일,1618.96,1334.08,1134.85
2020년10월15일,1618.12,1333.55,1134.34
2020년10월16일,1618.13,1332.97,1133.73
2020년10월17일,1617.77,1332.52,1133.24
2020년10월18일,1617.83,1332.40,1133.01
2020년10월19일,1617.89,1332.00,1132.58
2020년10월20일,1617.89,1331.42,1132.01
2020년10월21일,1617.29,1330.73,1131.32
2020년10월22일,1616.76,1330.19,1130.66
2020년10월23일,1616.17,1329.67,1130.17
2020년10월24일,1616.13,1329.22,1129.77
2020년10월25일,1616.05,1329.04,1129.46
2020년10월26일,1615.85,1328.62,1129.11
2020년10월27일,1615.45,1327.99,1128.47
2020년10월28일,1614.87,1327.40,1127.78
2020년10월29일,1614.70,1326.72,1127.10
2020년10월30일,1614.28,1325.75,1126.21
2020년10월31일,1613.97,1325.11,1125.45
2020년11월01일,1614.11,1324.32,1124.51
2020년11월02일,1613.04,1323.37,1123.70
2020년11월03일,1612.23,1322.14,1122.34
2020년11월04일,1610.77,1321.08,1121.22
2020년11월05일,1609.94,1320.29,1120.47
2020년11월06일,1608.95,1319.71,1119.96
2020년11월07일,1608.83,1319.26,1119.36
2020년11월08일,1608.94,1319.10,1119.02
2020년11월09일,1608.83,1318.67,1118.69
2020년11월10일,1608.84,1318.14,1118.16
2020년11월11일,1608.50,1317.87,1117.80
2020년11월12일,1608.38,1317.69,1117.58
2020년11월13일,1608.30,1317.62,1117.64
2020년11월14일,1607.51,1317.55,1117.53
2020년11월15일,1607.52,1317.55,1117.34
2020년11월16일,1607.48,1317.49,1117.44
2020년11월17일,1607.54,1317.44,1117.29
2020년11월18일,1607.77,1317.11,1116.97
2020년11월19일,1608.05,1317.35,1117.18
2020년11월20일,1608.30,1317.62,1117.46
2020년11월21일,1608.08,1317.88,1117.75
2020년11월22일,1608.37,1317.96,1117.64
2020년11월23일,1608.71,1318.08,1117.97
2020년11월24일,1608.81,1318.35,1118.33
2020년11월25일,1608.48,1319.01,1118.97
2020년11월26일,1608.95,1320.47,1120.47
2020년11월27일,1609.52,1322.21,1122.42
2020년11월28일,1610.28,1323.49,1123.53
2020년11월29일,1610.48,1324.04,1124.08
2020년11월30일,1610.74,1324.99,1125.19
2020년12월01일,1611.79,1327.25,1127.51
2020년12월02일,1612.51,1328.51,1128.81
2020년12월03일,1612.66,1329.96,1130.30
2020년12월04일,1613.58,1331.81,1132.17
2020년12월05일,1614.52,1333.91,1134.35
2020년12월06일,1614.94,1335.02,1135.33
2020년12월07일,1615.51,1336.80,1137.24
2020년12월08일,1616.42,1339.30,1139.68
2020년12월09일,1617.03,1341.26,1141.67
2020년12월10일,1617.31,1343.28,1143.72
2020년12월11일,1618.11,1346.54,1146.94
2020년12월12일,1619.69,1349.88,1150.27
2020년12월13일,1620.61,1351.60,1151.82
2020년12월14일,1621.08,1354.08,1154.49
2020년12월15일,1622.78,1357.25,1157.70
2020년12월16일,1624.35,1360.73,1161.26
2020년12월17일,1626.11,1364.87,1165.49
2020년12월18일,1629.33,1370.74,1171.40
2020년12월19일,1632.33,1376.91,1177.34
2020년12월20일,1633.68,1380.09,1180.46
2020년12월21일,1635.17,1384.58,1185.16
2020년12월22일,1638.64,1389.87,1190.57
2020년12월23일,1642.38,1394.09,1194.87
2020년12월24일,1645.08,1398.43,1199.30
2020년12월25일,1648.13,1402.70,1203.45
2020년12월26일,1649.25,1405.23,1206.06
2020년12월27일,1650.22,1406.84,1207.54
2020년12월28일,1651.94,1409.68,1210.65
2020년12월29일,1654.39,1413.82,1214.60
2020년12월30일,1657.64,1417.11,1218.04
2020년12월31일,1659.70,1419.70,1220.58
2021년01월01일,1662.86,1424.00,1224.64
2021년01월02일,1662.62,1425.64,1226.31
2021년01월03일,1663.82,1426.62,1227.34
2021년01월04일,1665.16,1428.43,1229.22
2021년01월05일,1667.24,1430.42,1231.37
2021년01월06일,1667.88,1431.84,1232.66
2021년01월07일,1669.60,1433.41,1234.06
2021년01월08일,1670.89,1434.78,1235.41
2021년01월09일,1673.20,1436.05,1236.56
2021년01월10일,1673.65,1436.73,1237.18
2021년01월11일,1674.31,1437.89,1238.44
2021년01월12일,1675.42,1439.25,1239.76
2021년01월13일,1676.74,1440.44,1240.99
2021년01월14일,1678.88,1441.94,1242.48
2021년01월15일,1680.58,1443.47,1244.02
2021년01월16일,1681.86,1444.83,1245.32
2021년01월17일,1682.43,1445.38,1245.77
2021년01월18일,1682.98,1446.25,1246.70
2021년01월19일,1684.37,1447.27,1247.70
2021년01월20일,1685.51,1448.04,1248.56
2021년01월21일,1686.05,1448.83,1249.31
2021년01월22일,1687.00,1449.36,1249.82
2021년01월23일,1687.57,1449.76,1250.18
2021년01월24일,1687.18,1449.89,1250.18
2021년01월25일,1688.03,1450.32,1250.71
